Location,Date,Time,SO2,CO,O3,NO2,PM10
4,1/1/2014,0,0.010,0.8,0.008,0.035,190
4,1/1/2014,1,0.009,0.8,0.004,0.042,175
4,1/1/2014,2,0.008,0.8,0.005,0.038,167
4,1/1/2014,3,0.009,0.9,0.003,0.044,158
4,1/1/2014,4,0.010,0.8,0.007,0.039,143
4,1/1/2014,5,0.008,0.7,0.009,0.035,127
4,1/1/2014,6,0.007,0.6,0.005,0.042,114
4,1/1/2014,7,0.006,0.5,0.006,0.041,107
4,1/1/2014,8,0.006,0.5,0.010,0.035,101
4,1/1/2014,9,0.006,0.5,0.018,0.021,102
4,1/1/2014,10,0.008,0.5,0.019,0.019,108
4,1/1/2014,11,0.009,0.4,0.024,0.015,115
4,1/1/2014,12,0.009,0.4,0.023,0.015,112
4,1/1/2014,13,0.010,0.4,0.023,0.016,114
4,1/1/2014,14,0.012,0.4,0.024,0.018,115
4,1/1/2014,15,0.010,0.4,0.025,0.019,123
4,1/1/2014,16,0.009,0.4,0.024,0.021,140
4,1/1/2014,17,0.007,0.4,0.021,0.025,142
4,1/1/2014,18,0.007,0.4,0.020,0.026,134
4,1/1/2014,19,0.009,0.4,0.015,0.032,131
4,1/1/2014,20,0.012,0.5,0.014,0.032,142
4,1/1/2014,21,0.011,0.5,0.012,0.034,144
4,1/1/2014,22,0.015,0.6,0.010,0.034,139
4,1/1/2014,23,0.013,0.6,0.016,0.021,133
4,1/2/2014,0,0.015,0.6,0.016,0.020,114
4,1/2/2014,1,0.009,0.5,0.021,0.012,89
4,1/2/2014,2,0.008,0.5,0.021,0.011,71
4,1/2/2014,3,0.008,0.5,0.020,0.012,73
4,1/2/2014,4,0.010,0.4,0.017,0.017,75
4,1/2/2014,5,0.012,0.5,0.011,0.024,67
4,1/2/2014,6,0.012,0.7,0.004,0.039,63
4,1/2/2014,7,0.014,0.7,0.003,0.040,64
4,1/2/2014,8,0.008,0.7,0.005,0.038,62
4,1/2/2014,9,0.008,0.5,0.008,0.033,60
4,1/2/2014,10,0.007,0.5,0.014,0.025,64
4,1/2/2014,11,0.007,0.5,0.015,0.028,58
4,1/2/2014,12,0.007,0.6,0.018,0.026,48
4,1/2/2014,13,0.010,0.6,0.015,0.047,47
4,1/2/2014,14,0.009,0.5,0.016,0.045,47
4,1/2/2014,15,0.008,0.5,0.015,0.032,49
4,1/2/2014,16,0.010,0.6,0.006,0.046,44
4,1/2/2014,17,0.009,0.8,0.003,0.050,51
4,1/2/2014,18,0.007,0.8,0.002,0.052,51
4,1/2/2014,19,0.008,1.1,0.003,0.062,50
4,1/2/2014,20,0.009,1.5,0.003,0.072,64
4,1/2/2014,21,0.010,1.5,0.003,0.076,79
4,1/2/2014,22,0.010,1.5,0.003,0.080,81
4,1/2/2014,23,0.010,1.3,0.003,0.087,83
4,1/3/2014,0,0.010,1.7,0.003,0.081,90
4,1/3/2014,1,0.009,1.7,0.003,0.080,93
4,1/3/2014,2,0.009,1.6,0.003,0.073,90
4,1/3/2014,3,0.008,1.6,0.002,0.075,80
4,1/3/2014,4,0.009,1.5,0.002,0.075,77
4,1/3/2014,5,0.010,1.5,0.003,0.073,77
4,1/3/2014,6,0.012,1.4,0.002,0.074,72
4,1/3/2014,7,0.010,1.4,0.003,0.076,70
4,1/3/2014,8,0.011,1.5,0.003,0.083,74
4,1/3/2014,9,0.012,1.6,0.003,0.081,82
4,1/3/2014,10,0.012,1.6,0.003,0.072,91
4,1/3/2014,11,0.012,1.5,0.003,0.095,110
4,1/3/2014,12,0.012,1.2,0.005,0.060,113
4,1/3/2014,13,0.011,1.0,0.008,0.052,103
4,1/3/2014,14,0.010,0.8,0.009,0.039,91
4,1/3/2014,15,0.010,0.6,0.006,0.046,70
4,1/3/2014,16,0.009,0.6,0.004,0.047,68
4,1/3/2014,17,0.008,0.5,0.003,0.045,68
4,1/3/2014,18,0.009,0.5,0.004,0.041,69
