Location,Date,Time,SO2,CO,O3,NO2,PM10
3,1/1/2014,0,0.006,0.7,0.022,0.018,184
3,1/1/2014,1,0.005,0.7,0.020,0.017,169
3,1/1/2014,2,0.004,0.7,0.013,0.018,145
3,1/1/2014,3,0.003,0.8,0.007,0.018,130
3,1/1/2014,4,0.003,0.8,0.005,0.017,116
3,1/1/2014,5,0.003,0.8,0.005,0.020,107
3,1/1/2014,6,0.003,0.6,0.011,0.021,108
3,1/1/2014,7,0.003,0.5,0.012,0.021,101
3,1/1/2014,8,0.003,0.5,0.011,0.023,98
3,1/1/2014,9,0.004,0.4,0.023,0.012,98
3,1/1/2014,10,0.004,0.3,0.027,0.010,91
3,1/1/2014,11,0.005,0.3,0.030,0.011,103
3,1/1/2014,12,0.005,0.3,0.033,0.010,120
3,1/1/2014,13,0.007,0.3,0.032,0.011,120
3,1/1/2014,14,0.007,0.3,0.033,0.011,136
3,1/1/2014,15,0.006,0.3,0.033,0.013,127
3,1/1/2014,16,0.005,0.3,0.033,0.014,144
3,1/1/2014,17,0.005,0.3,0.033,0.014,143
3,1/1/2014,18,0.006,0.3,0.025,0.019,140
3,1/1/2014,19,0.005,0.4,0.027,0.017,119
3,1/1/2014,20,0.006,0.4,0.027,0.016,117
3,1/1/2014,21,0.007,0.4,0.023,0.018,117
3,1/1/2014,22,0.007,0.5,0.020,0.019,131
3,1/1/2014,23,0.006,0.5,0.021,0.017,125
3,1/2/2014,0,0.006,0.5,0.020,0.018,107
3,1/2/2014,1,0.006,0.4,0.025,0.011,98
3,1/2/2014,2,0.005,0.5,0.017,0.014,73
3,1/2/2014,3,0.005,0.6,0.010,0.016,74
3,1/2/2014,4,0.004,0.6,0.006,0.017,72
3,1/2/2014,5,0.003,0.6,0.004,0.019,74
3,1/2/2014,6,0.003,0.6,0.004,0.023,76
3,1/2/2014,7,0.004,0.7,0.004,0.029,83
3,1/2/2014,8,0.004,0.8,0.004,0.040,85
3,1/2/2014,9,0.006,0.8,0.004,0.044,99
3,1/2/2014,10,0.007,0.5,0.011,0.031,94
3,1/2/2014,11,0.005,0.3,0.021,0.018,74
3,1/2/2014,12,0.005,0.3,0.026,0.013,50
3,1/2/2014,13,0.005,0.3,0.027,0.014,39
3,1/2/2014,14,0.006,0.3,0.026,0.017,33
3,1/2/2014,15,0.005,0.3,0.026,0.017,39
3,1/2/2014,16,0.005,0.3,0.021,0.020,44
3,1/2/2014,17,0.005,0.4,0.007,0.035,59
3,1/2/2014,18,0.004,0.5,0.006,0.036,92
3,1/2/2014,19,0.004,0.6,0.005,0.036,85
3,1/2/2014,20,0.004,0.7,0.004,0.036,83
3,1/2/2014,21,0.003,0.6,0.004,0.034,78
3,1/2/2014,22,0.003,0.6,0.004,0.030,76
3,1/2/2014,23,0.003,0.5,0.004,0.027,65
3,1/3/2014,0,0.003,0.5,0.003,0.027,52
3,1/3/2014,1,0.003,0.5,0.003,0.026,53
3,1/3/2014,2,0.003,0.6,0.003,0.026,53
3,1/3/2014,3,0.003,0.6,0.003,0.025,48
3,1/3/2014,4,0.003,0.6,0.003,0.026,44
3,1/3/2014,5,0.003,0.6,0.004,0.028,49
3,1/3/2014,6,0.004,0.6,0.004,0.032,62
3,1/3/2014,7,0.004,0.8,0.004,0.041,76
3,1/3/2014,8,0.005,0.8,0.004,0.045,76
3,1/3/2014,9,0.006,1.0,0.004,0.054,88
3,1/3/2014,10,0.006,0.6,0.005,0.043,109
3,1/3/2014,11,0.006,0.5,0.008,0.037,87
3,1/3/2014,12,0.006,0.5,0.012,0.034,80
3,1/3/2014,13,0.006,0.4,0.019,0.029,85
3,1/3/2014,14,0.007,0.4,0.019,0.026,78
3,1/3/2014,15,0.007,0.4,0.017,0.027,79
3,1/3/2014,16,0.006,0.4,0.011,0.030,92
3,1/3/2014,17,0.005,0.5,0.005,0.036,83
3,1/3/2014,18,0.005,0.6,0.004,0.039,93
3,1/3/2014,19,0.005,0.5,0.004,0.036,92
3,1/3/2014,20,0.004,0.5,0.004,0.035,71
3,1/3/2014,21,0.004,0.5,0.004,0.033,71
3,1/3/2014,22,0.005,0.5,0.006,0.032,72
3,1/3/2014,23,0.005,0.5,0.011,0.027,78
3,1/4/2014,0,0.004,0.4,0.011,0.022,69
3,1/4/2014,1,0.005,0.4,0.010,0.022,55
3,1/4/2014,2,0.005,0.5,0.008,0.021,65
3,1/4/2014,3,0.004,0.4,0.007,0.020,71
3,1/4/2014,4,0.004,0.5,0.005,0.019,53
3,1/4/2014,5,0.005,0.5,0.004,0.021,51
3,1/4/2014,6,0.005,0.6,0.004,0.025,52
3,1/4/2014,7,0.005,0.6,0.004,0.029,76
3,1/4/2014,8,0.005,0.7,0.004,0.036,74
3,1/4/2014,9,0.006,0.6,0.006,0.037,95
3,1/4/2014,10,0.005,0.4,0.010,0.025,89
3,1/4/2014,11,0.006,0.5,0.012,0.029,57
3,1/4/2014,12,0.006,0.4,0.017,0.024,76
3,1/4/2014,13,0.006,0.4,0.018,0.027,74
3,1/4/2014,14,0.008,0.4,0.018,0.029,88
3,1/4/2014,15,0.006,0.4,0.021,0.025,84
3,1/4/2014,16,0.005,0.3,0.025,0.019,59
3,1/4/2014,17,0.004,0.4,0.018,0.023,49
3,1/4/2014,18,0.004,0.5,0.007,0.033,63
3,1/4/2014,19,0.003,0.5,0.007,0.030,83
3,1/4/2014,20,0.003,0.6,0.006,0.028,61
3,1/4/2014,21,0.003,0.6,0.004,0.030,47
3,1/4/2014,22,0.003,0.6,0.004,0.027,49
3,1/4/2014,23,0.003,0.5,0.004,0.024,47
3,1/5/2014,0,0.003,0.6,0.004,0.023,47
3,1/5/2014,1,0.003,0.6,0.003,0.022,49
3,1/5/2014,2,0.003,0.6,0.003,0.023,53
3,1/5/2014,3,0.003,0.6,0.003,0.023,52
3,1/5/2014,4,0.003,0.6,0.003,0.023,58
3,1/5/2014,5,0.003,0.6,0.003,0.023,52
3,1/5/2014,6,0.003,0.6,0.003,0.024,46
3,1/5/2014,7,0.003,0.7,0.003,0.028,51
3,1/5/2014,8,0.003,0.7,0.004,0.028,56
3,1/5/2014,9,0.004,0.7,0.005,0.030,65
3,1/5/2014,10,0.004,0.5,0.011,0.025,66
3,1/5/2014,11,0.004,0.5,0.016,0.022,61
3,1/5/2014,12,0.005,0.4,0.020,0.020,55
3,1/5/2014,13,0.010,0.4,0.024,0.020,52
3,1/5/2014,14,0.005,0.3,0.024,0.019,55
3,1/5/2014,15,0.005,0.3,0.024,0.017,41
3,1/5/2014,16,0.004,0.3,0.025,0.015,32
3,1/5/2014,17,0.004,0.4,0.016,0.023,36
3,1/5/2014,18,0.004,0.3,0.011,0.026,47
3,1/5/2014,19,0.003,0.4,0.008,0.029,36
3,1/5/2014,20,0.003,0.5,0.005,0.030,40
3,1/5/2014,21,0.003,0.5,0.004,0.030,50
3,1/5/2014,22,0.004,0.6,0.003,0.028,51
3,1/5/2014,23,0.005,0.6,0.003,0.026,57
3,1/6/2014,0,0.004,0.6,0.004,0.025,76
3,1/6/2014,1,0.004,0.7,0.003,0.024,83
3,1/6/2014,2,0.003,0.6,0.003,0.023,72
3,1/6/2014,3,0.003,0.7,0.003,0.025,57
3,1/6/2014,4,0.003,0.7,0.003,0.026,48
3,1/6/2014,5,0.004,0.8,0.003,0.029,48
3,1/6/2014,6,0.003,0.7,0.003,0.030,61
3,1/6/2014,7,0.004,0.8,0.003,0.037,52
3,1/6/2014,8,0.004,1.0,0.003,0.047,75
3,1/6/2014,9,0.005,1.0,0.004,0.056,105
3,1/6/2014,10,0.006,0.8,0.006,0.045,138
3,1/6/2014,11,0.006,0.6,0.010,0.035,114
3,1/6/2014,12,0.007,0.5,0.014,0.031,81
3,1/6/2014,13,0.007,0.5,0.020,0.027,88
3,1/6/2014,14,0.008,0.4,0.028,0.020,90
3,1/6/2014,15,0.008,0.4,0.024,0.026,84
3,1/6/2014,16,0.008,0.4,0.020,0.030,89
3,1/6/2014,17,0.007,0.6,0.008,0.042,110
3,1/6/2014,18,0.005,0.7,0.004,0.046,121
3,1/6/2014,19,0.005,0.8,0.004,0.048,156
3,1/6/2014,20,0.004,0.9,0.004,0.046,155
3,1/6/2014,21,0.004,0.8,0.004,0.043,143
3,1/6/2014,22,0.004,0.8,0.004,0.040,138
3,1/6/2014,23,0.004,0.7,0.004,0.036,123
3,1/7/2014,0,0.003,0.7,0.004,0.031,111
3,1/7/2014,1,0.003,0.8,0.004,0.029,106
3,1/7/2014,2,0.003,0.7,0.004,0.028,106
3,1/7/2014,3,0.003,0.7,0.004,0.027,113
3,1/7/2014,4,0.003,0.6,0.003,0.024,111
3,1/7/2014,5,0.003,0.7,0.004,0.026,105
3,1/7/2014,6,0.004,0.8,0.004,0.032,98
3,1/7/2014,7,0.004,0.9,0.004,0.040,116
3,1/7/2014,8,0.005,1.0,0.004,0.050,124
3,1/7/2014,9,0.006,1.1,0.004,0.060,139
3,1/7/2014,10,0.006,0.6,0.006,0.042,146
3,1/7/2014,11,0.006,0.5,0.007,0.042,115
3,1/7/2014,12,0.011,0.7,0.005,0.058,117
3,1/7/2014,13,0.012,0.9,0.008,0.054,110
3,1/7/2014,14,0.013,0.7,0.008,0.054,119
3,1/7/2014,15,0.012,0.7,0.008,0.054,108
3,1/7/2014,16,0.013,0.7,0.005,0.058,104
3,1/7/2014,17,0.006,0.8,0.004,0.070,112
3,1/7/2014,18,0.005,0.8,0.004,1.000,104
3,1/7/2014,19,0.005,0.8,0.004,1.200,153
3,1/7/2014,20,0.005,0.9,0.004,1.300,136
3,1/7/2014,21,0.005,0.9,0.004,1.500,149
3,1/7/2014,22,0.005,1.0,0.004,1.500,157
3,1/7/2014,23,0.005,1.0,0.004,1.300,146
3,1/8/2014,0,0.005,0.9,0.004,1.000,148
3,1/8/2014,1,0.005,0.9,0.004,1.000,126
3,1/8/2014,2,0.005,1.1,0.004,1.300,121
3,1/8/2014,3,0.005,1.0,0.004,1.100,134
3,1/8/2014,4,0.005,1.1,0.003,0.900,124
3,1/8/2014,5,0.004,0.9,0.003,1.000,125
3,1/8/2014,6,0.005,1.0,0.003,1.000,114
3,1/8/2014,7,0.005,0.7,0.003,0.800,125
3,1/8/2014,8,0.007,0.7,0.003,0.900,118
3,1/8/2014,9,0.008,0.7,0.004,0.900,121
3,1/8/2014,10,0.009,0.7,0.005,0.900,123
3,1/8/2014,11,0.010,0.7,0.008,1.000,125
3,1/8/2014,12,0.009,0.7,0.012,0.024,136
3,1/8/2014,13,0.007,0.7,0.015,0.022,125
3,1/8/2014,14,0.007,0.5,0.019,0.021,120
3,1/8/2014,15,0.004,0.3,0.025,0.016,102
3,1/8/2014,16,0.003,0.3,0.026,0.015,61
3,1/8/2014,17,0.003,0.3,0.025,0.015,52
3,1/8/2014,18,0.003,0.3,0.026,0.014,36
3,1/8/2014,19,0.003,0.3,0.029,0.012,48
3,1/8/2014,20,0.003,0.3,0.030,0.011,42
3,1/8/2014,21,0.005,0.3,0.027,0.013,35
3,1/8/2014,22,0.006,0.3,0.031,0.010,38
3,1/8/2014,23,0.003,0.2,0.032,0.009,30
3,1/9/2014,0,0.003,0.2,0.029,0.010,27
