Location,Date,Time,SO2,CO,O3,NO2,PM10
1,1/1/2015,0,0.004,0.5,0.020,0.011,65
1,1/1/2015,1,0.004,0.5,0.019,0.010,77
1,1/1/2015,2,0.004,0.5,0.019,0.010,96
1,1/1/2015,3,0.004,0.5,0.019,0.008,102
1,1/1/2015,4,0.004,0.5,0.019,0.008,107
1,1/1/2015,5,0.004,0.5,0.018,0.009,121
1,1/1/2015,6,0.003,0.5,0.016,0.010,140
1,1/1/2015,7,0.003,0.5,0.015,0.011,145
1,1/1/2015,8,0.003,0.6,0.014,0.012,128
1,1/1/2015,9,0.004,0.6,0.017,0.010,106
1,1/1/2015,10,0.004,0.6,0.019,0.009,92
1,1/1/2015,11,0.004,0.6,0.020,0.010,71
1,1/1/2015,12,0.004,0.5,0.024,0.009,58
1,1/1/2015,13,0.004,0.5,0.025,0.009,42
1,1/1/2015,14,0.004,0.5,0.025,0.010,35
1,1/1/2015,15,0.004,0.5,0.023,0.012,33
1,1/1/2015,16,0.004,0.6,0.022,0.012,39
1,1/1/2015,17,0.004,0.6,0.018,0.016,35
1,1/1/2015,18,0.004,0.6,0.017,0.017,28
1,1/1/2015,19,0.003,0.7,0.016,0.017,29
1,1/1/2015,20,0.003,0.6,0.016,0.016,28
1,1/1/2015,21,0.003,0.6,0.016,0.016,24
1,1/1/2015,22,0.003,0.6,0.018,0.015,21
1,1/1/2015,23,0.003,0.5,0.020,0.013,26
1,1/2/2015,0,0.003,0.5,0.019,0.014,26
1,1/2/2015,1,0.003,0.5,0.018,0.014,25
1,1/2/2015,2,0.003,0.5,0.019,0.013,24
1,1/2/2015,3,0.003,0.5,0.022,0.010,19
1,1/2/2015,4,0.003,0.6,0.017,0.015,27
1,1/2/2015,5,0.003,0.6,0.016,0.018,22
1,1/2/2015,6,0.003,0.6,0.007,0.024,22
1,1/2/2015,7,0.003,0.7,0.003,0.031,25
1,1/2/2015,8,0.004,0.9,0.003,0.035,32
1,1/2/2015,9,0.005,0.7,0.007,0.028,28
1,1/2/2015,10,0.005,0.6,0.010,0.023,32
1,1/2/2015,11,0.006,0.6,0.016,0.018,27
1,1/2/2015,12,0.005,0.5,0.025,0.011,37
1,1/2/2015,13,0.005,0.5,0.026,0.012,32
1,1/2/2015,14,0.005,0.5,0.026,0.012,27
1,1/2/2015,15,0.005,0.5,0.026,0.013,33
1,1/2/2015,16,0.005,0.6,0.023,0.016,39
1,1/2/2015,17,0.004,0.7,0.018,0.021,54
1,1/2/2015,18,0.004,0.7,0.015,0.023,47
1,1/2/2015,19,0.004,0.7,0.012,0.024,51
1,1/2/2015,20,0.004,0.6,0.013,0.024,36
1,1/2/2015,21,0.004,0.7,0.011,0.023,38
1,1/2/2015,22,0.005,0.7,0.010,0.024,34
1,1/2/2015,23,0.005,0.7,0.008,0.025,39
1,1/3/2015,0,0.005,0.7,0.008,0.026,34
1,1/3/2015,1,0.005,0.7,0.007,0.026,37
1,1/3/2015,2,0.005,0.7,0.009,0.023,35
1,1/3/2015,3,0.005,0.7,0.010,0.024,35
1,1/3/2015,4,0.006,0.9,0.004,0.032,38
1,1/3/2015,5,0.008,0.9,0.002,0.032,34
1,1/3/2015,6,0.009,0.9,0.002,0.033,38
1,1/3/2015,7,0.007,0.9,0.002,0.034,35
1,1/3/2015,8,0.007,1.0,0.003,0.037,34
1,1/3/2015,9,0.013,1.0,0.004,0.039,32
1,1/3/2015,10,0.012,0.9,0.006,0.036,48
1,1/3/2015,11,0.013,0.8,0.008,0.034,42
1,1/3/2015,12,0.010,0.7,0.011,0.031,36
1,1/3/2015,13,0.009,0.7,0.011,0.031,35
1,1/3/2015,14,0.008,0.9,0.014,0.029,36
1,1/3/2015,15,0.008,0.8,0.014,0.027,44
1,1/3/2015,16,0.007,0.6,0.015,0.028,38
1,1/3/2015,17,0.006,0.6,0.012,0.033,38
1,1/3/2015,18,0.006,0.6,0.006,0.038,33
1,1/3/2015,19,0.006,0.7,0.003,0.039,38
1,1/3/2015,20,0.006,0.6,0.003,0.037,52
1,1/3/2015,21,0.005,0.6,0.006,0.032,33
1,1/3/2015,22,0.005,0.7,0.008,0.031,41
1,1/3/2015,23,0.005,0.6,0.002,0.036,38
1,1/4/2015,0,0.005,0.6,0.002,0.037,37
1,1/4/2015,1,0.005,0.6,0.004,0.033,34
1,1/4/2015,2,0.005,0.5,0.009,0.029,24
1,1/4/2015,3,0.005,0.6,0.012,0.026,25
1,1/4/2015,4,0.007,0.6,0.004,0.032,29
1,1/4/2015,5,0.006,0.6,0.008,0.028,26
1,1/4/2015,6,0.006,0.6,0.006,0.030,23
1,1/4/2015,7,0.006,0.6,0.010,0.027,23
