Location,Date,Time,SO2,CO,O3,NO2,PM10
2,1/1/2014,0,0.011,0.7,0.012,0.024,208
2,1/1/2014,1,0.011,0.6,0.016,0.019,192
2,1/1/2014,2,0.010,0.6,0.018,0.017,174
2,1/1/2014,3,0.010,0.7,0.009,0.025,167
2,1/1/2014,4,0.009,0.5,0.016,0.019,156
2,1/1/2014,5,0.007,0.4,0.017,0.018,140
2,1/1/2014,6,0.008,0.2,0.023,0.013,124
2,1/1/2014,7,0.007,0.2,0.017,0.019,115
2,1/1/2014,8,0.008,0.3,0.018,0.017,114
2,1/1/2014,9,0.006,0.4,0.022,0.015,102
2,1/1/2014,10,0.007,0.4,0.024,0.013,97
2,1/1/2014,11,0.008,0.3,0.031,0.009,120
2,1/1/2014,12,0.009,0.3,0.031,0.009,115
2,1/1/2014,13,0.010,0.3,0.030,0.010,114
2,1/1/2014,14,0.011,0.3,0.032,0.010,123
2,1/1/2014,15,0.010,0.3,0.034,0.011,136
2,1/1/2014,16,0.008,0.4,0.033,0.012,147
2,1/1/2014,17,0.006,0.5,0.029,0.015,136
2,1/1/2014,18,0.005,0.5,0.028,0.015,128
2,1/1/2014,19,0.005,0.5,0.027,0.015,121
2,1/1/2014,20,0.010,0.5,0.023,0.017,142
2,1/1/2014,21,0.012,0.5,0.018,0.020,152
2,1/1/2014,22,0.012,0.6,0.015,0.022,149
2,1/1/2014,23,0.011,0.6,0.015,0.020,158
2,1/2/2014,0,0.011,0.5,0.021,0.013,127
2,1/2/2014,1,0.010,0.5,0.022,0.011,94
2,1/2/2014,2,0.008,0.4,0.022,0.010,88
2,1/2/2014,3,0.009,0.4,0.019,0.012,75
2,1/2/2014,4,0.008,0.4,0.023,0.009,77
2,1/2/2014,5,0.008,0.4,0.021,0.009,68
2,1/2/2014,6,0.009,0.4,0.016,0.014,62
2,1/2/2014,7,0.008,0.4,0.004,0.026,60
2,1/2/2014,8,0.009,0.6,0.003,0.031,60
2,1/2/2014,9,0.010,0.5,0.006,0.027,57
2,1/2/2014,10,0.008,0.4,0.013,0.021,48
2,1/2/2014,11,0.006,0.2,0.022,0.014,38
2,1/2/2014,12,0.006,0.4,0.019,0.020,41
2,1/2/2014,13,0.005,0.3,0.021,0.017,49
2,1/2/2014,14,0.006,0.3,0.019,0.021,40
2,1/2/2014,15,0.008,0.3,0.013,0.027,57
2,1/2/2014,16,0.008,0.3,0.009,0.031,65
2,1/2/2014,17,0.007,0.4,0.004,0.033,47
2,1/2/2014,18,0.008,0.6,0.002,0.037,47
2,1/2/2014,19,0.009,0.9,0.002,0.041,44
2,1/2/2014,20,0.010,0.8,0.002,0.042,60
2,1/2/2014,21,0.012,0.8,0.002,0.044,64
2,1/2/2014,22,0.013,1.0,0.002,0.049,69
2,1/2/2014,23,0.012,1.1,0.002,0.051,72
2,1/3/2014,0,0.011,1.0,0.002,0.050,72
2,1/3/2014,1,0.010,0.9,0.002,0.048,76
2,1/3/2014,2,0.010,0.8,0.002,0.044,62
2,1/3/2014,3,0.010,0.9,0.002,0.044,60
2,1/3/2014,4,0.009,0.8,0.002,0.041,53
2,1/3/2014,5,0.009,0.8,0.002,0.039,41
2,1/3/2014,6,0.009,0.8,0.002,0.041,51
2,1/3/2014,7,0.010,0.9,0.002,0.045,51
2,1/3/2014,8,0.013,1.0,0.002,0.053,76
2,1/3/2014,9,0.014,1.0,0.002,0.053,76
2,1/3/2014,10,0.016,1.0,0.003,0.054,77
2,1/3/2014,11,0.020,0.7,0.003,0.050,83
2,1/3/2014,12,0.013,0.4,0.007,0.034,82
2,1/3/2014,13,0.013,0.3,0.011,0.034,88
2,1/3/2014,14,0.010,0.2,0.012,0.030,86
2,1/3/2014,15,0.008,0.1,0.011,0.029,74
2,1/3/2014,16,0.008,0.4,0.004,0.035,75
2,1/3/2014,17,0.006,0.5,0.002,0.035,72
2,1/3/2014,18,0.006,0.5,0.002,0.034,71
2,1/3/2014,19,0.006,0.6,0.002,0.033,69
2,1/3/2014,20,0.008,0.5,0.003,0.032,72
2,1/3/2014,21,0.008,0.5,0.006,0.030,71
2,1/3/2014,22,0.007,0.5,0.011,0.024,73
2,1/3/2014,23,0.006,0.4,0.016,0.019,67
2,1/4/2014,0,0.005,0.4,0.016,0.017,65
2,1/4/2014,1,0.004,0.4,0.018,0.015,54
2,1/4/2014,2,0.004,0.3,0.017,0.013,40
2,1/4/2014,3,0.005,0.3,0.017,0.012,35
2,1/4/2014,4,0.006,0.3,0.016,0.011,35
2,1/4/2014,5,0.005,0.3,0.017,0.010,33
2,1/4/2014,6,0.003,0.3,0.013,0.013,29
2,1/4/2014,7,0.004,0.4,0.004,0.023,33
2,1/4/2014,8,0.005,0.5,0.004,0.025,38
2,1/4/2014,9,0.006,0.5,0.005,0.026,44
2,1/4/2014,10,0.007,0.5,0.008,0.023,52
2,1/4/2014,11,0.007,0.5,0.013,0.020,54
2,1/4/2014,12,0.006,0.5,0.015,0.021,57
2,1/4/2014,13,0.006,0.5,0.015,0.023,52
2,1/4/2014,14,0.006,0.4,0.019,0.021,69
2,1/4/2014,15,0.005,0.3,0.020,0.019,58
2,1/4/2014,16,0.004,0.4,0.022,0.017,54
2,1/4/2014,17,0.004,0.4,0.017,0.021,41
2,1/4/2014,18,0.004,0.6,0.006,0.028,49
2,1/4/2014,19,0.004,0.5,0.008,0.025,44
2,1/4/2014,20,0.005,0.5,0.006,0.027,46
2,1/4/2014,21,0.005,0.5,0.003,0.029,49
2,1/4/2014,22,0.004,0.5,0.004,0.028,49
2,1/4/2014,23,0.004,0.5,0.002,0.030,49
2,1/5/2014,0,0.004,0.5,0.003,0.029,47
2,1/5/2014,1,0.004,0.5,0.003,0.028,50
2,1/5/2014,2,0.004,0.5,0.002,0.027,58
2,1/5/2014,3,0.004,0.6,0.004,0.025,50
2,1/5/2014,4,0.004,0.5,0.006,0.022,56
2,1/5/2014,5,0.005,0.5,0.006,0.021,51
2,1/5/2014,6,0.005,0.7,0.003,0.023,48
2,1/5/2014,7,0.004,0.5,0.004,0.022,54
2,1/5/2014,8,0.005,0.6,0.004,0.023,48
